site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Kondhwa Budruk,18-Jul,3,Mahesr ,3,2,1726,Super built-up  Area,81.99
Kondhwa Khurd,Ready To Move,3,Srier P,3,2,1535,Super built-up  Area,86
Koregaon Pa ,Ready To Move,3,,2,1,1300,Super built-up  Area,58.5
Kothrud,Ready To Move,4,Adowslm,4,2,3100,Plot  Area,465
Law College Road,Ready To Move,3,,3,3,1800,Super built-up  Area,80
Laxmi Road,19-Dec,1,Shestlo,1,0,665,Super built-up  Area,50.75
Mahatma Gandhi Road,Ready To Move,3,,2,1,1500,Plot  Area,100
Mangalwar peth,Ready To Move,2,Sothin ,2,2,925,Built-up  Area,48
Manik Bagh,18-Dec,4,Jaades ,4,,3356,Super built-up  Area,251
Ma et yard,Ready To Move,2,ArzzaRe,2,1,1395,Super built-up  Area,63.59
Model colony,Ready To Move,3,DSgam S,2,1,1415,Super built-up  Area,55
Mukund Nagar,Ready To Move,3,Arera V,2,2,1419,Super built-up  Area,59
Mundhawa,18-Feb,2,Brersge,2,2,1121,Super built-up  Area,78
Nagar Road,Ready To Move,3,,2,1,1082,Super built-up  Area,45
Nana Peth,18-Jun,2,MCnexva,2,1,1100,Super built-up  Area,47
Narayan Peth,Ready To Move,3,Keers S,3,3,1606,Super built-up  Area,89.55
Narayangaon,Ready To Move,3,,3,2,1650,Built-up  Area,88
Navi Peth,Ready To Move,3,Niateki,4,3,4634,Super built-up  Area,1015
Padmavati,Ready To Move,2,Vadel C,2,3,1206,Super built-up  Area,75
Parvati Darshan,Ready To Move,3,HIideSu,2,0,1495,Built-up  Area,64
Paud Road,Ready To Move,2,Itelaa ,2,2,710,Super built-up  Area,16
Pirangut,Ready To Move,2,,2,1,1210,Super built-up  Area,72
Prabhat Road,Ready To Move,3,DSesthr,2,2,1523,Super built-up  Area,53.4
Pune Railway Station,Ready To Move,2,Krine C,2,2,1232,Super built-up  Area,45
Rasta Peth,20-Aug,1,AsNowre,1,1,680,Super built-up  Area,44
Raviwar Peth,19-Dec,3,Magiaya,3,1,1355,Super built-up  Area,83.87
Sadashiv Peth,Ready To Move,3,MenueNo,2,2,1430,Super built-up  Area,51.46
Sahakar Nagar,18-Jun,3,,2,2,1275,Super built-up  Area,43.85
Salunke Vihar,Ready To Move,2,GMown E,2,1,1070,Super built-up  Area,56.1
Sasson Road,Ready To Move,3,,3,1,1200,Plot  Area,85
Satara Road,Ready To Move,4,,4,0,2000,Plot  Area,120
Senapati Bapat Road,Ready To Move,2,,2,2,1200,Super built-up  Area,40
Shaniwar Peth,Ready To Move,3,SatatHa,3,1,1610,Super built-up  Area,90
Shivaji Nagar,Ready To Move,2,RInceeg,2,2,1140,Super built-up  Area,43
Shukrawar Peth,Ready To Move,2,GrrvaGr,2,2,1143,Super built-up  Area,38.65
Sinhagad Road,22-May,4,SoineC ,6,3,3467.86,Super built-up  Area,249
Somwar Peth,Ready To Move,3,Sovar S,2,2,1530,Super built-up  Area,74.4
Swargate,Ready To Move,2,Brnia G,2,2,980,Super built-up  Area,69
Tilak Road,Ready To Move,3,ChodsGr,3,2,1485,Super built-up  Area,65
Uruli Devachi,18-May,3,Woa Em,3,1,1500,Plot  Area,130
Vadgaon Budruk,18-Oct,2,Umods W,2,1,1280,Super built-up  Area,75
Wadgaon Sheri,Ready To Move,2,Bhmesy ,2,2,1265,Super built-up  Area,85
Viman Nagar,20-Dec,2,,2,1,1132,Built-up  Area,67
Vishrant Wadi,Ready To Move,2,SJcerpe,2,2,1262,Super built-up  Area,63
Wagholi,Ready To Move,2,Maentor,2,1,940,Super built-up  Area,49
Wakadewadi,Ready To Move,3,,3,3,1515,Super built-up  Area,88
Wanowrie,Ready To Move,3,DLhtsan,3,3,1300,Super built-up  Area,150
Warje,Ready To Move,3,,3,1,1840,Built-up  Area,69
Yerawada,Ready To Move,2,Itvir M,2,2,890,Built-up  Area,45
Alandi Road,Ready To Move,3,,3,2,1655,Super built-up  Area,86.06
Ambegaon Budruk,Ready To Move,3,SaireSa,3,1,2060,Super built-up  Area,149
Anandnagar,Ready To Move,3,SNeur G,3,1,1730,Super built-up  Area,96
Aundh,Ready To Move,3,Leilo E,4,2,2195,Built-up  Area,127
Aundh Road,18-Mar,3,,3,2,1650,Super built-up  Area,125
Balaji Nagar,Ready To Move,2,,2,0,1200,Plot  Area,71
Baner,18-May,2,,2,1,1079,Super built-up  Area,32.37
Baner road,19-Oct,2,Caiya D,2,1,1085,Super built-up  Area,36
Bhanda ar Road,Ready To Move,7,,7,,5000,Built-up  Area,299
Bhavani Peth,Ready To Move,2,,2,1,1075,Super built-up  Area,51.5
Bibvewadi,18-May,2,,2,1,1380,Super built-up  Area,80
Bopodi,Ready To Move,3,,3,1,1450,Super built-up  Area,65
Budhwar Peth,Ready To Move,2,,2,2,1200,Super built-up  Area,78
Bund Garden Road,Ready To Move,3,,4,,3200,Super built-up  Area,350
Camp,21-Jul,3,GoAirej,3,1,1639,Super built-up  Area,98.32
Chandan Nagar,Ready To Move,2,,2,1,1200,Super built-up  Area,54
Dapodi,21-Jun,3,Saityat,3,1,1739,Super built-up  Area,116
Deccan Gymkhana,Ready To Move,4,RMaanSa,5,,4346,Built-up  Area,500
Dehu Road,20-Dec,2,Shmes O,2,1,935,Super built-up  Area,32.72
Dhankawadi,21-Nov,1,Bhe 2ko,1,1,510,Super built-up  Area,25.25
Dhayari Phata,Ready To Move,6,,6,3,1200,Plot  Area,180
Dhole Patil Road,Ready To Move,2,PrestSe,2,3,1178,Super built-up  Area,47
Erandwane,Ready To Move,3,Siourpl,2,1,1375,Built-up  Area,50
Fatima Nagar,Ready To Move,3,Halms S,2,1,1065,Super built-up  Area,33
Fergusson College Road,Ready To Move,3,,2,1,1450,Super built-up  Area,50.75
Ganesh Peth,Ready To Move,2,,2,3,999,Built-up  Area,45
Ganeshkhind,Ready To Move,2,,3,2,4400,Super built-up  Area,475
Ghorpade Peth,Ready To Move,5,,4,1,1350,Plot  Area,135
Ghorpadi,Ready To Move,2,,2,2,1100,Built-up  Area,40
Gokhale Nagar,Ready To Move,3,Wiass G,2,3,1835,Super built-up  Area,155
Gultekdi,20-Dec,4,Caycend,4,0,2090,Super built-up  Area,95.1
Guruwar peth,Ready To Move,3,Soiewre,3,1,1519,Super built-up  Area,93
Hadapsar,Ready To Move,3,Asene S,3,2,1267,Built-up  Area,56
Hadapsar Industrial Estate,Ready To Move,2,Camesa ,2,3,1150,Super built-up  Area,72.2
Hingne Khurd,19-Dec,2,PrensKe,2,1,1146,Super built-up  Area,70
Kalyani Nagar,Ready To Move,3,Marnaer,3,3,1550,Built-up  Area,65
Karve Nagar,Ready To Move,2,KHityry,1,1,850,Built-up  Area,18.5
Karve Road,Ready To Move,3,Kaestid,3,,2200,Super built-up  Area,187
Kasba Peth,Ready To Move,3,,3,2,3329,Built-up  Area,330
Katraj,Ready To Move,1,,1,1,785,Carpet  Area,55
Khadaki,Ready To Move,3,GonumPl,4,,2900,Super built-up  Area,300
Khadki,Ready To Move,3,Avlya A,3,2,1610,Built-up  Area,74
Kharadi,Ready To Move,2,Krine O,2,2,921,Super built-up  Area,40
Kondhwa,Ready To Move,3,,3,2,850,Plot  Area,95
Kondhwa Budruk,Ready To Move,5,,5,0,2700,Built-up  Area,158
Kondhwa Khurd,Ready To Move,3,SocusHi,3,3,1700,Super built-up  Area,110
Koregaon Pa ,Ready To Move,2,Sondaka,2,2,1020,Built-up  Area,35
Kothrud,Ready To Move,2,Dintsmi,2,3,1090,Super built-up  Area,52
Law College Road,Ready To Move,4,,4,,3600,Plot  Area,300
Laxmi Road,Ready To Move,2,,2,2,1027,Super built-up  Area,44
Lulla Nagar,Ready To Move,2,MenueNo,2,2,1185,Super built-up  Area,42.1
Mahatma Gandhi Road,Ready To Move,2,Prianhi,2,1,850,Super built-up  Area,25
Mangalwar peth,Ready To Move,2,Prncyrn,2,1,1197,Built-up  Area,84
Manik Bagh,Ready To Move,4,ETntsce,3,3,3500,Super built-up  Area,450
Ma et yard,Ready To Move,2,,2,2,920,Super built-up  Area,39.55
Mukund Nagar,Ready To Move,2,i1rtsCo,2,1,1105,Super built-up  Area,65
Mundhawa,Ready To Move,3,GoandAc,3,3,1850,Super built-up  Area,100
Nagar Road,20-Dec,3,PrarePa,3,1,1300,Super built-up  Area,64
Nana Peth,Ready To Move,3,,3,2,1595,Built-up  Area,76
Narayan Peth,19-Dec,4,Priesla,5,2,3073,Super built-up  Area,696
Narayangaon,Ready To Move,2,,2,1,755,Built-up  Area,37.49
Navi Peth,Ready To Move,5,,5,2,4050,Built-up  Area,140
Padmavati,21-Dec,3,,2,3,1300,Super built-up  Area,69
Parvati Darshan,Ready To Move,2,,2,0,1215,Built-up  Area,50
Pashan,20-Oct,2,PrarePa,2,1,900,Super built-up  Area,46
Paud Road,18-Oct,2,,2,3,1145,Super built-up  Area,58.4
Pirangut,Ready To Move,2,,2,2,1093,Super built-up  Area,65
Prabhat Road,17-Nov,3,,2,2,1213,Super built-up  Area,41.39
Pune Railway Station,Ready To Move,3,PrliaRe,3,2,1654,Super built-up  Area,100
Rasta Peth,Ready To Move,2,,2,1,1105,Super built-up  Area,52.48
Raviwar Peth,Ready To Move,3,,2,2,1611,Super built-up  Area,66
Sadashiv Peth,Ready To Move,2,Hoens T,2,2,1367,Built-up  Area,62
Sahakar Nagar,Ready To Move,2,Brntsal,2,1,1010,Super built-up  Area,51
Salunke Vihar,Ready To Move,3,,2,1,750,Plot  Area,75
Sasson Road,Ready To Move,3,SVon hn,3,1,1535,Carpet  Area,95
Satara Road,Ready To Move,2,,2,1,620,Super built-up  Area,22
Senapati Bapat Road,Ready To Move,2,,2,1,982,Built-up  Area,47.65
Shaniwar Peth,Ready To Move,2,,2,2,1700,Super built-up  Area,150
Shivaji Nagar,18-Dec,2,BSlasin,2,1,1330,Super built-up  Area,71
Shukrawar Peth,Ready To Move,3,Ronty C,3,2,2500,Built-up  Area,135
Sinhagad Road,Ready To Move,3,,2,2,1475,Super built-up  Area,58.99
Somwar Peth,Ready To Move,3,BSisear,3,1,1410,Super built-up  Area,65
Swargate,Ready To Move,1,,1,1,440,Super built-up  Area,16.5
Tilak Road,Ready To Move,3,PuziaVe,3,2,1614,Super built-up  Area,95
Uruli Devachi,Ready To Move,2,GeereEc,2,2,1363,Super built-up  Area,68
Vadgaon Budruk,Ready To Move,2,,2,0,650,Built-up  Area,28
Wadgaon Sheri,Ready To Move,2,,2,1,1015,Super built-up  Area,45
Viman Nagar,Ready To Move,2,,2,2,1156,Super built-up  Area,46
Vishrant Wadi,19-Mar,2,,2,1,1100,Super built-up  Area,62.7
Wagholi,18-Jan,3,,3,2,1455,Super built-up  Area,46
Wakadewadi,Ready To Move,2,Ravashw,2,1,930,Super built-up  Area,45
Wanowrie,Ready To Move,3,,2,2,1650,Built-up  Area,80
Warje,Ready To Move,2,,2,0,1200,Built-up  Area,90
Yerawada,Ready To Move,1,,1,0,700,Plot  Area,150
Alandi Road,Ready To Move,4,AjityIn,3,,2900,Super built-up  Area,135
Ambegaon Budruk,18-Mar,3,Alestrb,4,3,1890,Super built-up  Area,127
Anandnagar,Ready To Move,3,Vaour S,4,3,2197,Super built-up  Area,280
Aundh,Ready To Move,3,GonumPl,3,2,3522,Super built-up  Area,380
Aundh Road,18-Apr,3,,2,2,1240,Super built-up  Area,46
Balaji Nagar,Ready To Move,2,Vaaveeh,2,2,1440,Built-up  Area,98
Baner,Ready To Move,1,,1,2,650,Super built-up  Area,38
Baner road,19-Jun,1,Brstaue,1,1,764,Super built-up  Area,32
Bhanda ar Road,Ready To Move,5,,4,0,900,Plot  Area,90
Bhavani Peth,Ready To Move,3,GrrvaGr,3,3,1693,Super built-up  Area,57.39
Bibvewadi,Ready To Move,3,Macanr ,3,2,1445,Built-up  Area,65
Bopodi,21-Oct,2,PrarePa,1,0,900,Super built-up  Area,45
Budhwar Peth,Ready To Move,2,,2,,1030,Super built-up  Area,55
Bund Garden Road,Ready To Move,3,Pyikad ,2,2,1381,Super built-up  Area,52.48
Camp,Ready To Move,2,Krtiqa ,2,1,1100,Built-up  Area,60
Chandan Nagar,Ready To Move,3,,3,2,1575,Super built-up  Area,66.39
Dapodi,Ready To Move,2,,2,1,1200,Plot  Area,65
Deccan Gymkhana,Ready To Move,2,Dhalsh ,2,2,1200,Super built-up  Area,43.2
Dehu Road,Ready To Move,2,GradeMR,2,2,1080,Super built-up  Area,80
Dhankawadi,Ready To Move,5,,5,,2280,Plot  Area,200
Dhayari Phata,18-Mar,3,,2,2,1360,Super built-up  Area,85
Dhole Patil Road,19-Dec,3,Ceezey ,3,1,1865,Super built-up  Area,124
Erandwane,18-Nov,3,AsastDe,2,1,1157,Super built-up  Area,75
Fatima Nagar,Ready To Move,2,Icingpy,2,1,674,Super built-up  Area,29
Fergusson College Road,Ready To Move,3,AdndeBe,2,1,1405,Super built-up  Area,78
Ganesh Peth,Ready To Move,2,Dhalsh ,2,2,1160,Super built-up  Area,44.08
Ganeshkhind,Ready To Move,4,,3,1,1600,Plot  Area,172
Ghorpade Peth,21-Mar,3,Oztarol,3,2,1790,Super built-up  Area,127
Ghorpadi,18-May,2,Pra un,2,1,1128,Super built-up  Area,65.65
Gokhale Nagar,Ready To Move,2,Arentpa,2,1,1180,Super built-up  Area,70
Gultekdi,Ready To Move,3,,2,2,1450,Built-up  Area,85
Guruwar peth,18-Mar,1,,1,1,340,Built-up  Area,10
Hadapsar,Ready To Move,4,,3,1,2000,Built-up  Area,166
Hadapsar Industrial Estate,Ready To Move,2,,2,2,1050,Super built-up  Area,53.5
Hingne Khurd,Ready To Move,2,Pethaai,2,2,1125,Super built-up  Area,40
Jangali Maharaj Road,Ready To Move,2,Prlla C,2,1,1246,Super built-up  Area,68
Kalyani Nagar,Ready To Move,2,SrisePo,2,1,1372,Super built-up  Area,61
Karve Nagar,Ready To Move,3,Aklia R,2,1,1330,Super built-up  Area,56
Karve Road,19-Dec,3,She 2 ,5,2,2465,Super built-up  Area,234
Kasba Peth,Ready To Move,2,,2,3,1300,Super built-up  Area,55
Katraj,Ready To Move,2,,1,0,1420,Plot  Area,220
Khadaki,Ready To Move,4,,4,1,810,Plot  Area,50
Khadki,Ready To Move,2,Unm 2El,2,1,1065,Super built-up  Area,35
Kharadi,Ready To Move,2,,2,0,700,Built-up  Area,27
Kondhwa,18-Mar,2,Arcia S,2,0,547.34 - 827.31,Carpet  Area,42.72
Kondhwa Budruk,Ready To Move,2,Viiniai,2,1,1050,Super built-up  Area,45
Kondhwa Khurd,18-Apr,3,,3,3,1250,Super built-up  Area,39.5
Koregaon Pa ,Ready To Move,2,Palleon,2,0,865,Built-up  Area,42
Kothrud,Ready To Move,2,,2,2,1200,Super built-up  Area,44
Law College Road,Ready To Move,3,NRnoral,3,3,1756,Built-up  Area,100
Lulla Nagar,Ready To Move,1,Ardanru,1,1,628,Super built-up  Area,24
Mahatma Gandhi Road,Ready To Move,7,,6,2,1200,Plot  Area,195
Mangalwar peth,Ready To Move,2,,2,2,1207,Super built-up  Area,63
Manik Bagh,Ready To Move,3,Kla Be,3,1,1765,Super built-up  Area,125
Ma et yard,18-Dec,2,,2,1,1130,Built-up  Area,32.64
Model colony,18-Jun,3,Ozana U,3,3,1532,Super built-up  Area,92
Mukund Nagar,Ready To Move,3,DSncele,3,0,1650,Built-up  Area,110
Mundhawa,18-May,4,,4,2,1200,Built-up  Area,105
Nagar Road,18-Dec,2,Rosha I,2,1,804.1,Carpet  Area,69.09
Nana Peth,18-Apr,2,,2,2,1200,Super built-up  Area,75
Narayan Peth,Ready To Move,2,,2,2,1197,Super built-up  Area,50
Narayangaon,Ready To Move,2,Paa lu,2,2,1200,Built-up  Area,66
Navi Peth,Ready To Move,3,Shony S,2,2,1385,Super built-up  Area,48.48
Padmavati,Ready To Move,2,Cea ry,2,3,1010,Super built-up  Area,148
Parvati Darshan,Ready To Move,3,UKe 2nz,3,3,2225,Super built-up  Area,115
Pashan,Ready To Move,2,Niimet ,2,2,1180,Super built-up  Area,48
Paud Road,Ready To Move,3,,2,3,1525,Super built-up  Area,122
Pirangut,Ready To Move,2,,2,2,1100,Super built-up  Area,31.5
Prabhat Road,Ready To Move,3,,3,3,1435,Super built-up  Area,70
Pune Railway Station,Ready To Move,1,Jae 2hu,1,1,400,Built-up  Area,14
Rasta Peth,Ready To Move,2,Asene S,2,2,1200,Super built-up  Area,50
Raviwar Peth,21-Mar,2,PritaDo,2,1,1272,Super built-up  Area,95.05
Sadashiv Peth,Ready To Move,2,SSthamh,2,1,1205,Super built-up  Area,39
Sahakar Nagar,Ready To Move,2,ARomee ,2,1,980,Built-up  Area,40
Salunke Vihar,18-May,2,,2,2,1225,Super built-up  Area,46.86
Sasson Road,Ready To Move,3,,3,1,1541,Built-up  Area,72
Satara Road,Ready To Move,3,DNeremo,2,2,1610,Super built-up  Area,111
Senapati Bapat Road,Ready To Move,2,Tahtsla,2,2,1694,Super built-up  Area,125
Shaniwar Peth,Ready To Move,3,,3,2,600,Plot  Area,75
Shivaji Nagar,Ready To Move,2,Baowsig,2,1,950,Super built-up  Area,39
Shukrawar Peth,Ready To Move,3,Laderav,2,3,1560,Super built-up  Area,66
Sinhagad Road,Ready To Move,2,,2,2,1201,Super built-up  Area,27
Somwar Peth,Ready To Move,2,,2,1,1500,Plot  Area,60
Swargate,Ready To Move,3,,3,2,1785,Super built-up  Area,75
Tilak Road,Ready To Move,2,,2,1,1258,Built-up  Area,63.53
Uruli Devachi,Ready To Move,2,CoapeSo,2,2,910,Super built-up  Area,42
Vadgaon Budruk,Ready To Move,2,,2,2,1297,Super built-up  Area,112
Wadgaon Sheri,Ready To Move,2,Vangsld,2,3,1291,Super built-up  Area,49
Viman Nagar,Ready To Move,2,,2,2,1070,Built-up  Area,42
Vishrant Wadi,Ready To Move,2,Soamsay,2,1,1012,Super built-up  Area,66.5
Wagholi,Ready To Move,2,,2,3,1260,Super built-up  Area,57.6
Wakadewadi,Ready To Move,2,Maantr ,2,2,1282,Super built-up  Area,72
Wanowrie,Ready To Move,3,Puestol,3,2,1843,Super built-up  Area,92.15
Warje,Ready To Move,4,,3,,2400,Plot  Area,200
Yerawada,Ready To Move,5,Theanmp,5,2,3356,Built-up  Area,105
Alandi Road,19-Mar,4,Raard B,5,3,2790,Super built-up  Area,198
Ambegaon Budruk,Ready To Move,2,BrontLa,2,1,1330,Super built-up  Area,86.98
Anandnagar,Ready To Move,3,A rtsai,2,1,1400,Super built-up  Area,73
Aundh,18-Dec,2,,2,1,1192,Built-up  Area,71
Aundh Road,Ready To Move,2,,2,1,1000,Built-up  Area,130
Balaji Nagar,Ready To Move,2,Prtanha,2,2,1297,Super built-up  Area,103
Baner,19-Jul,1,Sasta S,1,0,580 - 650,Super built-up  Area,17.835
Baner road,21-Jun,3,Saahaat,3,2,1490,Super built-up  Area,100
Bhanda ar Road,Ready To Move,3,MJeusyl,3,2,1373,Super built-up  Area,72
Bhavani Peth,Ready To Move,2,,2,1,1035,Super built-up  Area,41.39
Bibvewadi,Ready To Move,4,,4,0,3750,Plot  Area,210
Bopodi,Ready To Move,2,,2,1,1010,Super built-up  Area,40.39
Budhwar Peth,Ready To Move,2,,2,1,1195,Built-up  Area,42
Bund Garden Road,Ready To Move,3,Klort C,3,2,1750,Super built-up  Area,95
Camp,Ready To Move,2,A idse ,2,2,1052,Super built-up  Area,50
Chandan Nagar,Ready To Move,2,,2,2,1180,Super built-up  Area,58
Dapodi,Ready To Move,5,,4,2,3680,Built-up  Area,440
Deccan Gymkhana,Ready To Move,3,,3,2,2100,Built-up  Area,73
Dehu Road,18-Mar,4,,4,1,2863,Built-up  Area,140
Dhankawadi,Ready To Move,2,GrrvaGr,2,2,1128,Super built-up  Area,38.24
Dhayari Phata,Ready To Move,3,,3,1,2700,Built-up  Area,450
Dhole Patil Road,18-Jul,2,DSvvyx ,2,2,1120,Super built-up  Area,33.6
Erandwane,Ready To Move,3,,3,2,2424,Built-up  Area,90
Fatima Nagar,Ready To Move,2,,2,1,1300,Built-up  Area,60
Fergusson College Road,Ready To Move,2,SPavenc,2,2,1090,Super built-up  Area,32.69
Ganesh Peth,Ready To Move,3,,3,1,2710,Built-up  Area,251
Ganeshkhind,Ready To Move,2,,1,1,3040,Plot  Area,180
Ghorpade Peth,Ready To Move,3,SLnssPr,2,2,1330,Super built-up  Area,46.55
Ghorpadi,18-Jul,3,PuendWe,2,1,1427,Super built-up  Area,80.63
Gokhale Nagar,18-Aug,3,,2,2,1294,Super built-up  Area,48
Gultekdi,Ready To Move,3,Vantspa,3,2,1580,Built-up  Area,75
Guruwar peth,Ready To Move,5,,5,1,400,Plot  Area,200
Hadapsar,Ready To Move,3,FiriaVi,4,2,1808,Plot  Area,80.27
Hadapsar Industrial Estate,Ready To Move,4,PhestOn,4,3,3516,Super built-up  Area,540
Hingne Khurd,Ready To Move,2,Peide L,2,2,1194,Super built-up  Area,47
Jangali Maharaj Road,21-Dec,2,PrarePa,2,1,900,Super built-up  Area,46
Kalyani Nagar,Ready To Move,3,,2,3,1310,Super built-up  Area,50
Karve Nagar,21-Oct,2,PrarePa,2,1,900,Super built-up  Area,46
Karve Road,Ready To Move,4,,6,3,3850,Built-up  Area,195
Kasba Peth,Ready To Move,7,,7,3,925,Plot  Area,88
Katraj,16-Dec,2,,1,1,2400,Super built-up  Area,150
Khadaki,Ready To Move,2,,2,3,1290,Super built-up  Area,100
Khadki,Ready To Move,6,,6,3,3770,Built-up  Area,110
Kharadi,Ready To Move,3,Cemesti,3,1,1390,Super built-up  Area,120
Kondhwa,Ready To Move,4,,4,2,1200,Plot  Area,72
Kondhwa Budruk,Ready To Move,2,Prityel,2,1,845,Built-up  Area,33
Kondhwa Khurd,Ready To Move,3,Niareum,3,3,1537,Super built-up  Area,120
Koregaon Pa ,Ready To Move,2,,2,2,1135,Super built-up  Area,68
Kothrud,19-Dec,3,Caycend,3,2,1512,Super built-up  Area,75.77
Law College Road,Ready To Move,2,,2,1,900,Super built-up  Area,55
Laxmi Road,Ready To Move,3,DLhtsen,3,3,1230,Super built-up  Area,54
Lulla Nagar,18-Apr,3,MNtha A,2,3,1378,Super built-up  Area,42.33
Mahatma Gandhi Road,17-Oct,2,Asarqz ,2,1,1277,Super built-up  Area,61.3
Mangalwar peth,19-Jun,3,Raard B,4,2,1985,Super built-up  Area,189
Manik Bagh,Ready To Move,5,,5,,8000,Plot  Area,500
Ma et yard,Ready To Move,2,SVmesVi,2,2,1210,Super built-up  Area,62
Model colony,Ready To Move,2,,2,,890,Super built-up  Area,40
Mundhawa,Ready To Move,4,,5,2,1200,Plot  Area,110
Nagar Road,Ready To Move,4,AWharde,4,3,3198,Built-up  Area,200
Nana Peth,Ready To Move,3,,3,2,1464,Super built-up  Area,56
Narayan Peth,Ready To Move,4,Prersis,5,2,2483,Super built-up  Area,215
Narayangaon,Ready To Move,4,,4,2,1550,Plot  Area,130
Navi Peth,Ready To Move,4,Vaunei ,4,1,4111,Super built-up  Area,310
Padmavati,Ready To Move,2,SNncypa,2,2,975,Super built-up  Area,37.5
Parvati Darshan,Ready To Move,3,,3,1,2500,Super built-up  Area,250
Pashan,Ready To Move,3,PuoodSk,3,1,1690,Super built-up  Area,125
Paud Road,18-May,2,SStusan,2,1,1063,Super built-up  Area,31.89
Pirangut,Ready To Move,3,,3,3,2572,Plot  Area,390
Prabhat Road,Ready To Move,3,,4,,2200,Carpet  Area,350
Pune Railway Station,Ready To Move,3,InockHo,3,0,1600,Built-up  Area,80
Rasta Peth,18-May,3,,3,1,1250,Super built-up  Area,39.5
Raviwar Peth,Ready To Move,1,Prtusth,1,0,520,Super built-up  Area,19.5
Sadashiv Peth,Ready To Move,4,PueraRi,5,,4000,Super built-up  Area,212
Sahakar Nagar,Ready To Move,3,Keids O,3,2,1390,Built-up  Area,68
Salunke Vihar,18-May,2,SSdhimr,2,2,1185,Super built-up  Area,40
Sasson Road,Ready To Move,2,KVersuj,2,2,1219,Super built-up  Area,48
Satara Road,18-Dec,3,Sanzaat,2,1,1564,Super built-up  Area,92
Senapati Bapat Road,Ready To Move,4,DSndsod,6,0,3425 - 3435,Super built-up  Area,228.5
Shaniwar Peth,Ready To Move,2,Sancei ,2,2,1100,Super built-up  Area,37.1
Shivaji Nagar,Ready To Move,3,Esale O,2,0,1300,Built-up  Area,60
Shukrawar Peth,Ready To Move,3,,2,0,1600,Plot  Area,80
Sinhagad Road,Ready To Move,3,,3,2,1600,Built-up  Area,75
Somwar Peth,19-Mar,3,Puachal,2,1,1482,Super built-up  Area,92
Swargate,18-May,3,MGave E,4,3,1000,Plot  Area,66
Tilak Road,Ready To Move,2,,2,3,1200,Super built-up  Area,53
Uruli Devachi,Ready To Move,3,,3,2,600,Plot  Area,75
Vadgaon Budruk,Ready To Move,2,,2,0,1200,Super built-up  Area,58
Wadgaon Sheri,Ready To Move,6,,4,0,600,Plot  Area,60
Viman Nagar,Ready To Move,3,,3,0,2400,Built-up  Area,160
Vishrant Wadi,19-Dec,3,PrensKe,3,1,1469,Super built-up  Area,89
Wagholi,22-Mar,1,,1,1,551,Super built-up  Area,30
Wakadewadi,19-Dec,2,,2,1,1160,Super built-up  Area,52
Wanowrie,Ready To Move,2,Soresea,2,1,1205,Super built-up  Area,78.5
Warje,Ready To Move,3,,2,3,1550,Built-up  Area,52
Yerawada,Ready To Move,3,MauilTr,3,2,1745,Super built-up  Area,125
Alandi Road,Ready To Move,2,Kamesar,2,1,1028,Super built-up  Area,42
Ambegaon Budruk,Ready To Move,3,CaaveEn,3,1,1700,Super built-up  Area,180
Anandnagar,Ready To Move,3,NadriNe,2,1,1200,Super built-up  Area,34
Aundh,Ready To Move,3,Soianal,4,1,2700,Super built-up  Area,270
Aundh Road,Ready To Move,2,BSa nd,2,2,1100,Built-up  Area,50
Balaji Nagar,Ready To Move,2,,3,1,1200,Plot  Area,72
Baner,Ready To Move,2,Dural C,2,2,1269.72,Super built-up  Area,68
Baner road,Ready To Move,2,SJmesst,2,2,1266,Super built-up  Area,59
Bhanda ar Road,Ready To Move,2,S ha S,2,1,1060,Super built-up  Area,62
